trial,dataset,family,pr(Y=1|S=mc),DP,"t(P(S=1), DP)","t(P(S=1), DP_ground_truth)",I_v(X_to_S)
1,compas,sgd_lr,0.31,0.228887831,0.00654947,0.005457731,0.061206816
1,compas,mlp_one_layer,0.31,0.258286841,0.008341653,0.005457731,0.084220427
1,compas,mlp_two_layer,0.31,0.267289236,0.00893386,0.005457731,0.0845396
1,compas,mlp_three_layer,0.31,0.264969948,0.008779342,0.005457731,0.086766759
1,compas,sgd_lr,0.33,0.193674427,0.004688298,0.004194443,0.046002342
1,compas,mlp_one_layer,0.33,0.230531367,0.006643935,0.004194443,0.067667866
1,compas,mlp_two_layer,0.33,0.234239843,0.006859576,0.004194443,0.065357509
1,compas,mlp_three_layer,0.33,0.235268073,0.006919977,0.004194443,0.058921382
1,compas,sgd_lr,0.35,0.21829748,0.005957026,0.003167701,0.049575596
1,compas,mlp_one_layer,0.35,0.223855954,0.006264469,0.003167701,0.069262531
1,compas,mlp_two_layer,0.35,0.221595543,0.006138509,0.003167701,0.065957809
1,compas,mlp_three_layer,0.35,0.214728112,0.005763688,0.003167701,0.052516326
1,compas,sgd_lr,0.37,0.227313534,0.00645962,0.00276763,0.047692034
1,compas,mlp_one_layer,0.37,0.234594833,0.006880399,0.00276763,0.065222484
1,compas,mlp_two_layer,0.37,0.235721192,0.006946679,0.00276763,0.067719326
1,compas,mlp_three_layer,0.37,0.23560171,0.006939633,0.00276763,0.018664495
1,compas,sgd_lr,0.39,0.218299207,0.00595712,0.002373984,0.050550291
1,compas,mlp_one_layer,0.39,0.241533073,0.007293735,0.002373984,0.069747746
1,compas,mlp_two_layer,0.39,0.242720036,0.007365657,0.002373984,0.069346718
1,compas,mlp_three_layer,0.39,0.23701225,0.007023042,0.002373984,0.048164556
1,compas,sgd_lr,0.41,0.228378504,0.006520333,0.000943868,0.044619362
1,compas,mlp_one_layer,0.41,0.21137808,0.005585138,0.000943868,0.063828931
1,compas,mlp_two_layer,0.41,0.21604225,0.005834498,0.000943868,0.063325778
1,compas,mlp_three_layer,0.41,0.219586026,0.006027606,0.000943868,0.064017162
1,compas,sgd_lr,0.43,0.223021469,0.006217818,0.001019038,0.03920797
1,compas,mlp_one_layer,0.43,0.213391051,0.005692088,0.001019038,0.058615431
1,compas,mlp_two_layer,0.43,0.214819489,0.005768598,0.001019038,0.056192953
1,compas,mlp_three_layer,0.43,0.204316119,0.005217969,0.001019038,0.058137718
1,compas,sgd_lr,0.45,0.2186184,0.005974565,0.000381982,0.038402866
1,compas,mlp_one_layer,0.45,0.219687609,0.006033188,0.000381982,0.057703913
1,compas,mlp_two_layer,0.45,0.213771633,0.005712423,0.000381982,0.059112165
1,compas,mlp_three_layer,0.45,0.212990843,0.005670744,0.000381982,0.051457627
1,compas,sgd_lr,0.47,0.224610367,0.006306793,0.000307064,0.03933466
1,compas,mlp_one_layer,0.47,0.218674765,0.005977649,0.000307064,0.061313072
1,compas,mlp_two_layer,0.47,0.224157248,0.006281355,0.000307064,0.060970658
1,compas,mlp_three_layer,0.47,0.223258704,0.006231063,0.000307064,0.049202164
1,compas,sgd_lr,0.49,0.225791364,0.006373337,7.16E-05,0.037473011
1,compas,mlp_one_layer,0.49,0.212222928,0.005629902,7.16E-05,0.056214655
1,compas,mlp_two_layer,0.49,0.195962315,0.004799778,7.16E-05,0.053733276
1,compas,mlp_three_layer,0.49,0.212354342,0.005636881,7.16E-05,0.058602507
1,compas,sgd_lr,0.51,0.219178282,0.006005227,4.90E-07,0.033247315
1,compas,mlp_one_layer,0.51,0.186947987,0.004368142,4.90E-07,0.05372179
1,compas,mlp_two_layer,0.51,0.188939605,0.004461754,4.90E-07,0.052757827
1,compas,mlp_three_layer,0.51,0.183473293,0.004207199,4.90E-07,0.055695058
1,compas,sgd_lr,0.53,0.220279049,0.006065739,1.58E-05,0.03844485
1,compas,mlp_one_layer,0.53,0.195504957,0.004777388,1.58E-05,0.061460122
1,compas,mlp_two_layer,0.53,0.199140896,0.004956836,1.58E-05,0.060125671
1,compas,mlp_three_layer,0.53,0.198931921,0.004946432,1.58E-05,0.067568482
1,compas,sgd_lr,0.55,0.20353376,0.005178062,0.000126551,0.029584411
1,compas,mlp_one_layer,0.55,0.166083809,0.003447189,0.000126551,0.04970872
1,compas,mlp_two_layer,0.55,0.164610153,0.003386264,0.000126551,0.048313558
1,compas,mlp_three_layer,0.55,0.183207954,0.004195033,0.000126551,0.04447782
1,compas,sgd_lr,0.57,0.199175123,0.004958541,0.000534076,0.031756566
1,compas,mlp_one_layer,0.57,0.176418241,0.003889725,0.000534076,0.054265224
1,compas,mlp_two_layer,0.57,0.182216463,0.004149729,0.000534076,0.050567811
1,compas,mlp_three_layer,0.57,0.184649266,0.00426133,0.000534076,0.044999488
1,compas,sgd_lr,0.59,0.189060029,0.004467447,0.000664131,0.027904835
1,compas,mlp_one_layer,0.59,0.162425732,0.003296954,0.000664131,0.050153404
1,compas,mlp_two_layer,0.59,0.155291235,0.003013585,0.000664131,0.044609958
1,compas,mlp_three_layer,0.59,0.16930855,0.003582407,0.000664131,0.040776902
1,compas,sgd_lr,0.61,0.176071886,0.003874461,0.001181897,0.029402157
1,compas,mlp_one_layer,0.61,0.155247744,0.003011897,0.001181897,0.046320653
1,compas,mlp_two_layer,0.61,0.153203215,0.002933063,0.001181897,0.046691276
1,compas,mlp_three_layer,0.61,0.156434707,0.003058144,0.001181897,0.046674457
1,compas,sgd_lr,0.63,0.157354604,0.003094228,0.001584086,0.024208132
1,compas,mlp_one_layer,0.63,0.138102247,0.0023832,0.001584086,0.046779797
1,compas,mlp_two_layer,0.63,0.141424174,0.002499263,0.001584086,0.045815727
1,compas,mlp_three_layer,0.63,0.143692279,0.002580093,0.001584086,0.045544016
1,compas,sgd_lr,0.65,0.155550765,0.00302367,0.0022072,0.025393013
1,compas,mlp_one_layer,0.65,0.134711237,0.002267572,0.0022072,0.049200585
1,compas,mlp_two_layer,0.65,0.13407552,0.002246215,0.0022072,0.046579431
1,compas,mlp_three_layer,0.65,0.130422625,0.002125458,0.0022072,0.0341713
1,compas,sgd_lr,0.67,0.145651553,0.002650954,0.002974547,0.019649089
1,compas,mlp_one_layer,0.67,0.111735959,0.00155993,0.002974547,0.044865072
1,compas,mlp_two_layer,0.67,0.109960224,0.001510734,0.002974547,0.041486322
1,compas,mlp_three_layer,0.67,0.104226846,0.001357277,0.002974547,0.035086728
1,compas,sgd_lr,0.69,0.127369491,0.002027088,0.003921631,0.019641905
1,compas,mlp_one_layer,0.69,0.118597424,0.001757435,0.003921631,0.048354134
1,compas,mlp_two_layer,0.69,0.123071302,0.001892557,0.003921631,0.042685903
1,compas,mlp_three_layer,0.69,0.124923813,0.001949973,0.003921631,0.029087849
1,compas,sgd_lr,0.71,0.118258762,0.00174741,0.004125882,0.020872835
